商品代碼:2303	商品名稱:聯電

日期	開盤價	最高價	最低價	收盤價	成交量
'2005/12/06 00:00	19.7000	19.7500	19.4000	19.5500	103114
'2005/12/07 00:00	19.7000	19.9500	19.4000	19.7500	98062
'2005/12/08 00:00	19.7000	19.7000	19.2000	19.3000	75051
'2005/12/09 00:00	19.2000	19.2000	18.9000	19.0500	74043
'2005/12/12 00:00	19.0500	19.0500	18.6500	18.8000	74514
'2005/12/13 00:00	18.7000	18.8000	18.5500	18.7000	49633
'2005/12/14 00:00	18.5000	18.5500	17.5000	17.9000	253103
'2005/12/15 00:00	17.9000	18.2000	17.9000	18.1000	112969
'2005/12/16 00:00	18.0000	18.4500	18.0000	18.3500	131621
'2005/12/19 00:00	18.4500	18.8000	18.4000	18.7000	103033
'2005/12/20 00:00	18.6500	18.9500	18.4000	18.9500	105335
'2005/12/21 00:00	18.9000	19.1000	18.7000	19.0000	81403
'2005/12/22 00:00	19.0000	19.2500	18.8000	18.8000	76013
'2005/12/23 00:00	18.9000	19.6500	18.8500	19.6500	169288
'2005/12/26 00:00	19.7500	19.8000	19.3000	19.3000	85960
'2005/12/27 00:00	19.3000	19.6500	19.2000	19.4500	93130
'2005/12/28 00:00	18.8000	19.0500	18.6500	18.8500	187550
'2005/12/29 00:00	18.6500	18.9500	18.1500	18.9000	220932
'2005/12/30 00:00	18.8000	18.9000	18.6000	18.6000	116187
'2006/01/02 00:00	18.4000	18.5000	18.0500	18.2000	84046
'2006/01/03 00:00	18.2000	18.5000	17.8000	18.4000	126918
'2006/01/04 00:00	18.6500	18.7000	18.2000	18.3000	181924
'2006/01/05 00:00	18.3500	18.5000	18.0000	18.1000	141507
'2006/01/06 00:00	18.2000	18.4000	18.2000	18.2500	136572
'2006/01/09 00:00	18.7500	19.0500	18.6500	18.8500	247392
'2006/01/10 00:00	18.8500	18.8500	18.3000	18.5500	148005
'2006/01/11 00:00	18.4000	18.6000	18.3000	18.5500	145234
'2006/01/12 00:00	18.7000	18.9000	18.5000	18.5000	104912
'2006/01/13 00:00	18.4000	18.4500	18.2000	18.2500	94118
'2006/01/16 00:00	18.3000	18.7000	18.2500	18.5500	78773
'2006/01/17 00:00	18.7000	18.8000	18.6000	18.7500	66744
'2006/01/18 00:00	18.2000	18.3500	17.8500	17.8500	184739
'2006/01/19 00:00	18.0500	18.2000	17.9500	18.2000	69552
'2006/01/20 00:00	18.4000	18.4000	18.0500	18.1500	48446
'2006/01/23 00:00	17.9000	18.0500	17.9000	17.9000	58335
'2006/01/24 00:00	18.0000	18.2000	17.9500	18.0500	61929
'2006/01/25 00:00	18.2000	18.3000	17.9500	18.1500	63035
'2006/02/03 00:00	18.3000	18.5000	17.6000	17.8000	167209
'2006/02/06 00:00	17.6000	18.0000	17.4000	18.0000	91910
'2006/02/07 00:00	18.0000	18.6000	17.9500	18.5500	139414
'2006/02/08 00:00	18.4500	18.5000	18.2000	18.2000	37679
'2006/02/09 00:00	18.4000	18.4500	18.2000	18.2000	56714
'2006/02/10 00:00	18.3000	18.3500	18.0500	18.3000	44550
'2006/02/13 00:00	18.3000	18.3500	17.8500	17.9000	61226
'2006/02/14 00:00	17.7000	17.9000	17.6000	17.9000	70854
