商品代碼:3481	商品名稱:群創

日期	開盤價	最高價	最低價	收盤價	成交量
'2006/10/24 00:00	57.0000	60.0000	54.7000	54.8000	83277
'2006/10/25 00:00	55.0000	55.0000	50.4000	52.5000	38561
'2006/10/26 00:00	52.5000	53.4000	51.0000	52.7000	21942
'2006/10/27 00:00	54.0000	54.0000	52.4000	53.0000	25174
'2006/10/30 00:00	52.5000	53.0000	52.0000	52.0000	8493
'2006/10/31 00:00	50.5000	51.9000	50.4000	51.6000	8618
'2006/11/01 00:00	51.9000	52.4000	51.3000	51.6000	8668
'2006/11/02 00:00	51.6000	53.9000	51.6000	53.0000	19195
'2006/11/03 00:00	53.4000	56.7000	53.0000	56.7000	35998
'2006/11/06 00:00	56.0000	59.7000	55.6000	58.8000	25506
'2006/11/07 00:00	59.5000	59.7000	58.2000	59.1000	16788
'2006/11/08 00:00	59.1000	59.9000	57.4000	58.0000	15325
'2006/11/09 00:00	58.0000	58.1000	55.0000	55.5000	11748
'2006/11/10 00:00	55.5000	57.7000	55.5000	56.5000	10804
'2006/11/13 00:00	57.0000	57.0000	54.9000	55.5000	6167
'2006/11/14 00:00	55.6000	55.9000	54.8000	55.3000	9998
'2006/11/15 00:00	55.5000	57.2000	55.2000	56.7000	10338
'2006/11/16 00:00	56.5000	57.1000	55.5000	55.6000	5479
'2006/11/17 00:00	55.2000	56.5000	54.8000	55.2000	3888
'2006/11/20 00:00	55.2000	55.6000	54.8000	55.1000	4661
'2006/11/21 00:00	55.4000	56.2000	54.9000	55.6000	3831
'2006/11/22 00:00	56.1000	57.0000	55.3000	55.5000	5483
'2006/11/23 00:00	55.5000	55.8000	55.1000	55.6000	4345
'2006/11/24 00:00	55.6000	56.3000	55.2000	55.5000	5471
'2006/11/27 00:00	55.7000	56.4000	54.9000	54.9000	6001
'2006/11/28 00:00	54.9000	54.9000	52.7000	53.5000	9982
'2006/11/29 00:00	53.5000	54.1000	53.0000	53.5000	4892
'2006/11/30 00:00	54.0000	55.3000	54.0000	55.1000	9279
'2006/12/01 00:00	55.4000	55.5000	54.8000	55.0000	5554
'2006/12/04 00:00	55.6000	55.6000	54.1000	54.7000	5507
'2006/12/05 00:00	54.7000	55.5000	54.3000	54.3000	2702
'2006/12/06 00:00	54.3000	54.8000	54.0000	54.5000	5023
'2006/12/07 00:00	54.5000	54.6000	53.9000	53.9000	3090
'2006/12/08 00:00	53.8000	54.7000	53.7000	54.2000	2569
'2006/12/11 00:00	54.6000	55.4000	54.0000	55.0000	5147
'2006/12/12 00:00	55.0000	55.0000	53.8000	53.8000	3846
'2006/12/13 00:00	53.8000	54.6000	53.6000	53.8000	3104
'2006/12/14 00:00	54.0000	54.2000	53.6000	53.7000	2563
'2006/12/15 00:00	54.0000	54.1000	52.6000	52.6000	4554
'2006/12/18 00:00	52.6000	53.8000	52.0000	53.1000	5082
'2006/12/19 00:00	53.2000	53.4000	52.0000	52.5000	3405
'2006/12/20 00:00	53.0000	56.1000	52.4000	56.1000	17833
'2006/12/21 00:00	58.8000	60.0000	57.6000	58.5000	32406
'2006/12/22 00:00	59.0000	60.5000	58.5000	58.7000	18224
'2006/12/25 00:00	58.7000	58.7000	57.1000	57.6000	5173
'2006/12/26 00:00	57.6000	58.4000	57.1000	57.1000	7015
'2006/12/27 00:00	57.5000	58.5000	57.2000	57.4000	4444
'2006/12/28 00:00	58.0000	60.0000	58.0000	59.1000	13824
'2006/12/29 00:00	59.2000	59.5000	58.6000	59.1000	6439
'2007/01/02 00:00	59.3000	61.0000	57.8000	60.3000	19676
'2007/01/03 00:00	62.0000	64.5000	61.3000	64.5000	27618
'2007/01/04 00:00	65.1000	68.5000	64.5000	67.7000	25392
'2007/01/05 00:00	67.0000	67.7000	64.9000	65.2000	19766
'2007/01/08 00:00	64.5000	66.4000	63.5000	65.6000	10476
'2007/01/09 00:00	66.0000	67.2000	66.0000	66.6000	9153
'2007/01/10 00:00	66.6000	71.2000	66.0000	70.5000	24308
'2007/01/11 00:00	70.9000	75.4000	70.9000	73.1000	30049
'2007/01/12 00:00	75.0000	75.0000	70.5000	71.8000	19441
'2007/01/15 00:00	73.0000	73.0000	69.8000	71.2000	12739
'2007/01/16 00:00	71.0000	75.0000	70.1000	74.1000	16911
'2007/01/17 00:00	74.0000	79.0000	73.0000	76.5000	20550
'2007/01/18 00:00	77.8000	77.8000	75.8000	76.1000	10319
'2007/01/19 00:00	75.8000	79.7000	75.8000	78.5000	24313
'2007/01/22 00:00	78.7000	78.7000	75.7000	76.0000	12338
'2007/01/23 00:00	75.5000	76.9000	71.8000	73.1000	21577
'2007/01/24 00:00	68.0000	75.7000	68.0000	74.6000	59478
'2007/01/25 00:00	75.0000	76.5000	74.5000	75.2000	21684
'2007/01/26 00:00	75.0000	75.4000	73.4000	74.0000	12819
'2007/01/29 00:00	74.0000	74.4000	72.4000	72.5000	8271
'2007/01/30 00:00	72.0000	73.9000	72.0000	72.9000	6190
'2007/01/31 00:00	73.5000	74.9000	72.9000	73.6000	12041
'2007/02/01 00:00	74.8000	76.5000	73.6000	75.7000	26119
'2007/02/02 00:00	77.0000	79.2000	76.1000	79.2000	28613
'2007/02/05 00:00	79.8000	80.3000	78.2000	79.2000	21477
'2007/02/06 00:00	79.7000	84.7000	79.7000	84.7000	29219
'2007/02/07 00:00	87.1000	89.5000	86.0000	87.5000	29391
'2007/02/08 00:00	87.6000	87.6000	82.1000	83.6000	24901
'2007/02/09 00:00	82.0000	84.3000	80.6000	83.7000	17622
'2007/02/12 00:00	82.0000	82.4000	78.4000	80.0000	16451
'2007/02/13 00:00	79.8000	79.8000	77.0000	77.2000	19876
'2007/02/14 00:00	79.6000	82.6000	79.0000	82.6000	28298
'2007/02/26 00:00	85.6000	88.2000	85.6000	86.8000	22979
'2007/02/27 00:00	87.5000	91.5000	86.6000	91.5000	45149
'2007/03/01 00:00	86.8000	90.0000	86.8000	89.9000	33009
'2007/03/02 00:00	89.9000	89.9000	87.0000	87.2000	16023
'2007/03/03 00:00	86.0000	86.0000	82.0000	83.5000	16368
'2007/03/05 00:00	83.0000	83.0000	78.0000	79.1000	20764
'2007/03/06 00:00	79.2000	81.9000	78.2000	81.0000	12693
'2007/03/07 00:00	82.0000	82.0000	79.5000	80.4000	12069
'2007/03/08 00:00	81.6000	85.0000	80.6000	85.0000	18375
'2007/03/09 00:00	85.4000	85.4000	80.6000	81.2000	15370
'2007/03/12 00:00	80.3000	84.4000	80.1000	82.1000	12878
'2007/03/13 00:00	82.9000	85.0000	82.9000	84.0000	13189
'2007/03/14 00:00	80.0000	82.0000	80.0000	80.7000	13343
'2007/03/15 00:00	82.5000	82.5000	81.1000	81.2000	8028
'2007/03/16 00:00	82.5000	82.5000	80.0000	80.7000	7013
'2007/03/19 00:00	80.5000	83.5000	79.7000	82.0000	11408
'2007/03/20 00:00	82.1000	82.5000	80.0000	80.2000	9801
'2007/03/21 00:00	81.0000	81.9000	80.2000	80.3000	6113
'2007/03/22 00:00	81.3000	81.3000	80.0000	80.1000	7524
'2007/03/23 00:00	80.1000	80.2000	77.6000	78.4000	12336
'2007/03/26 00:00	79.0000	80.4000	77.5000	78.5000	10752
'2007/03/27 00:00	78.5000	80.4000	78.0000	78.0000	10423
'2007/03/28 00:00	77.0000	78.9000	73.4000	75.0000	20921
'2007/03/29 00:00	74.8000	78.9000	74.1000	78.9000	14243
'2007/03/30 00:00	79.0000	80.0000	78.1000	78.2000	9513
'2007/04/02 00:00	78.7000	82.2000	78.5000	81.2000	14095
'2007/04/03 00:00	81.5000	82.2000	80.1000	82.0000	9789
'2007/04/04 00:00	83.0000	86.5000	82.8000	85.0000	28763
'2007/04/09 00:00	87.0000	88.0000	86.5000	86.7000	12736
'2007/04/10 00:00	87.9000	88.0000	84.0000	85.2000	9901
'2007/04/11 00:00	86.0000	89.5000	85.9000	89.0000	18838
'2007/04/12 00:00	88.5000	89.6000	87.0000	88.8000	12614
'2007/04/13 00:00	89.0000	89.5000	88.9000	89.0000	14272
'2007/04/14 00:00	89.3000	90.0000	87.9000	88.2000	4199
'2007/04/16 00:00	88.6000	88.8000	86.9000	87.6000	9838
'2007/04/17 00:00	88.4000	89.3000	88.3000	88.8000	17408
