商品代碼:6770	商品名稱:力積電

日期	開盤價	最高價	最低價	收盤價	成交量
'2020/12/09 00:00	31.1000	84.0000	31.1000	55.7000	129935
'2020/12/10 00:00	55.1000	65.0000	51.8000	52.2000	66406
'2020/12/11 00:00	52.5000	57.3000	44.8500	46.6500	63803
'2020/12/14 00:00	47.3000	48.8500	43.0000	46.2500	35790
'2020/12/15 00:00	46.3000	48.5000	45.5000	46.2000	23208
'2020/12/16 00:00	46.5000	48.0000	46.0500	47.2500	23173
'2020/12/17 00:00	47.4000	51.8000	47.0000	50.8000	57244
'2020/12/18 00:00	50.9000	53.1000	50.0000	52.1000	43611
'2020/12/21 00:00	52.5000	55.2000	50.9000	52.2000	31001
'2020/12/22 00:00	52.4000	52.9000	49.8000	49.8000	32313
'2020/12/23 00:00	49.8500	51.4000	47.0000	50.2000	15346
'2020/12/24 00:00	50.2000	51.0000	45.1500	50.1000	12845
'2020/12/25 00:00	50.1000	50.7000	49.3500	49.7000	13060
'2020/12/28 00:00	50.0000	50.1000	48.9500	49.0500	16412
'2020/12/29 00:00	49.5000	50.0000	47.9500	48.4000	19181
'2020/12/30 00:00	48.4000	50.9000	47.5500	50.0000	16281
'2020/12/31 00:00	50.3000	52.0000	49.4000	50.0000	14833
'2021/01/04 00:00	50.0000	51.0000	48.8500	49.0000	16824
'2021/01/05 00:00	49.2000	49.8500	48.5000	49.0000	10389
'2021/01/06 00:00	49.2000	49.5000	47.9500	48.2000	16101
'2021/01/07 00:00	48.3000	48.6000	47.0000	47.9000	16579
'2021/01/08 00:00	47.9500	48.3500	47.5500	47.6500	12700
'2021/01/11 00:00	47.7000	48.0000	47.0000	47.2000	17010
'2021/01/12 00:00	47.3000	49.2500	47.0000	47.3500	16308
'2021/01/13 00:00	47.8000	48.3000	47.3500	47.9000	9110
'2021/01/14 00:00	47.8000	48.1000	47.3500	47.5500	10761
'2021/01/15 00:00	48.0000	48.5000	47.3500	47.5000	13957
'2021/01/18 00:00	47.3000	47.7000	46.7000	47.1000	7920
'2021/01/19 00:00	46.9500	48.2000	46.7000	47.8000	17525
'2021/01/20 00:00	47.8000	48.3500	46.8500	47.1500	16329
'2021/01/21 00:00	47.2000	47.4500	46.8500	47.0500	10278
'2021/01/22 00:00	47.0500	48.5000	46.5000	48.1500	21689
'2021/01/25 00:00	48.2000	51.2000	47.9000	51.0000	46998
'2021/01/26 00:00	51.2000	52.8000	49.8500	50.5000	36367
'2021/01/27 00:00	50.4000	52.0000	49.3500	49.8500	16367
'2021/01/28 00:00	49.8000	50.2000	48.4500	48.9500	14669
'2021/01/29 00:00	49.0500	49.9000	48.7000	49.0500	11177
'2021/02/01 00:00	48.9000	49.4000	48.0000	48.9500	7783
'2021/02/02 00:00	49.0000	50.3000	48.7000	49.7500	15350
'2021/02/03 00:00	49.9500	50.7000	49.6000	49.6000	14084
'2021/02/04 00:00	50.0000	50.5000	49.5000	50.2000	14149
'2021/02/05 00:00	50.2000	51.1000	50.0000	50.9000	20509
'2021/02/17 00:00	51.2000	57.4000	50.5000	57.3000	107732
'2021/02/18 00:00	57.2000	65.9000	56.7000	65.9000	126390
'2021/02/19 00:00	65.8000	70.8000	63.2000	70.3000	96214
'2021/02/22 00:00	70.6000	84.0000	70.0000	83.9000	150925
'2021/02/23 00:00	83.9000	90.0000	71.3000	80.9000	116444
'2021/02/24 00:00	80.9000	81.7000	74.6000	75.0000	84849
'2021/02/25 00:00	76.0000	81.5000	74.1000	77.2000	55469
'2021/02/26 00:00	76.5000	78.0000	71.3000	75.3000	37701
'2021/03/02 00:00	75.8000	80.1000	74.5000	75.9000	39928
'2021/03/03 00:00	75.8000	78.0000	72.8000	75.2000	31730
'2021/03/04 00:00	74.7000	75.5000	70.7000	70.9000	40245
'2021/03/05 00:00	70.7000	71.2000	64.0000	69.5000	50860
'2021/03/08 00:00	70.3000	72.7000	68.8000	69.9000	32173
'2021/03/09 00:00	69.5000	70.0000	67.2000	68.4000	24723
'2021/03/10 00:00	68.4000	70.4000	65.1000	65.6000	44833
'2021/03/11 00:00	65.7000	69.3000	64.7000	68.1000	38144
'2021/03/12 00:00	68.0000	70.4000	68.0000	70.4000	31583
'2021/03/15 00:00	70.4000	71.4000	69.5000	70.5000	18282
'2021/03/16 00:00	70.5000	71.7000	69.5000	70.0000	14514
'2021/03/17 00:00	70.4000	70.9000	69.2000	69.4000	10691
'2021/03/18 00:00	69.9000	71.0000	69.4000	71.0000	16021
'2021/03/19 00:00	70.9000	71.1000	69.4000	69.8000	9691
'2021/03/22 00:00	69.8000	72.0000	69.7000	70.8000	14349
'2021/03/23 00:00	71.2000	75.3000	70.8000	74.6000	43769
'2021/03/24 00:00	74.2000	77.0000	73.1000	75.2000	27421
'2021/03/25 00:00	75.2000	77.0000	73.2000	73.9000	20613
'2021/03/26 00:00	74.5000	76.0000	74.0000	75.5000	15901
'2021/03/29 00:00	75.5000	76.8000	75.0000	75.6000	22844
'2021/03/30 00:00	75.7000	76.0000	74.3000	74.8000	15102
'2021/03/31 00:00	74.9000	75.0000	72.7000	73.2000	22222
'2021/04/01 00:00	73.0000	75.0000	72.6000	73.6000	15752
'2021/04/06 00:00	73.6000	75.8000	73.1000	74.3000	18298
'2021/04/07 00:00	74.7000	76.6000	74.3000	76.6000	34118
'2021/04/08 00:00	76.1000	77.0000	73.1000	75.3000	25905
'2021/04/09 00:00	75.3000	76.0000	73.4000	73.8000	15218
'2021/04/12 00:00	73.7000	75.3000	73.0000	74.1000	20464
'2021/04/13 00:00	74.1000	76.3000	73.5000	75.2000	30787
'2021/04/14 00:00	75.2000	76.0000	72.9000	75.0000	28441
'2021/04/15 00:00	75.2000	75.5000	73.5000	74.3000	15400
'2021/04/16 00:00	74.0000	75.5000	72.7000	73.1000	29056
'2021/04/19 00:00	73.8000	73.8000	70.5000	71.3000	36448
'2021/04/20 00:00	71.3000	71.9000	69.7000	70.6000	14898
'2021/04/21 00:00	70.3000	70.8000	69.2000	69.4000	18522
'2021/04/22 00:00	69.7000	70.4000	69.1000	69.1000	21148
'2021/04/23 00:00	69.6000	69.6000	68.0000	69.3000	18705
'2021/04/26 00:00	69.5000	72.8000	68.0000	72.0000	38364
'2021/04/27 00:00	72.6000	73.1000	70.2000	71.3000	21798
'2021/04/28 00:00	70.8000	71.3000	69.7000	70.1000	14785
'2021/04/29 00:00	70.0000	70.1000	69.2000	69.6000	14016
'2021/05/03 00:00	69.2000	69.9000	66.6000	67.9000	28048
'2021/05/04 00:00	67.3000	68.0000	61.9000	63.5000	42179
'2021/05/05 00:00	63.5000	64.2000	61.6000	62.7000	19900
'2021/05/06 00:00	63.0000	63.5000	60.0000	60.7000	31576
'2021/05/07 00:00	61.2000	65.1000	59.9000	65.1000	31254
'2021/05/10 00:00	65.0000	66.0000	61.9000	62.3000	21026
'2021/05/11 00:00	62.2000	62.9000	59.3000	59.5000	27366
'2021/05/12 00:00	59.5000	60.2000	51.0000	54.9000	49729
'2021/05/13 00:00	54.9000	58.3000	51.0000	56.6000	29465
'2021/05/14 00:00	57.3000	58.8000	55.8000	55.9000	27876
'2021/05/17 00:00	55.0000	56.0000	50.0000	51.9000	34499
'2021/05/18 00:00	52.0000	58.5000	52.0000	58.2000	34135
'2021/05/19 00:00	58.0000	59.2000	55.8000	56.5000	14978
'2021/05/20 00:00	56.7000	57.2000	55.3000	55.8000	12662
'2021/05/21 00:00	56.2000	58.5000	55.8000	56.9000	11708
'2021/05/24 00:00	56.5000	57.9000	55.0000	56.9000	9517
'2021/05/25 00:00	57.0000	61.4000	56.9000	61.2000	30195
'2021/05/26 00:00	60.9000	66.8000	60.7000	61.7000	17788
'2021/05/27 00:00	61.8000	62.0000	59.1000	60.8000	14220
'2021/05/28 00:00	60.9000	62.2000	60.8000	61.1000	10423
'2021/05/31 00:00	61.2000	62.1000	59.8000	60.2000	15122
'2021/06/01 00:00	60.3000	60.9000	59.4000	59.8000	12831
'2021/06/02 00:00	59.5000	60.0000	58.2000	58.4000	16715
'2021/06/03 00:00	58.2000	60.8000	58.1000	59.9000	12060
'2021/06/04 00:00	59.6000	59.7000	58.3000	58.8000	8477
'2021/06/07 00:00	59.1000	60.4000	58.7000	60.2000	11480
'2021/06/08 00:00	60.2000	61.9000	59.8000	61.9000	17078
'2021/06/09 00:00	61.3000	62.9000	61.0000	61.4000	14257
'2021/06/10 00:00	61.1000	64.9000	61.0000	64.9000	31119
'2021/06/11 00:00	64.9000	66.6000	64.0000	66.4000	27726
'2021/06/15 00:00	66.4000	70.0000	66.4000	68.5000	23159
'2021/06/16 00:00	68.5000	69.4000	66.6000	67.4000	20125
'2021/06/17 00:00	67.0000	68.6000	65.7000	68.3000	15475
'2021/06/18 00:00	68.3000	68.9000	67.1000	68.5000	15601
'2021/06/21 00:00	68.0000	68.3000	66.5000	67.3000	15463
'2021/06/22 00:00	67.5000	68.6000	65.7000	66.3000	13829
'2021/06/23 00:00	66.3000	67.1000	65.0000	65.8000	18893
'2021/06/24 00:00	65.9000	66.3000	64.5000	65.9000	18150
'2021/06/25 00:00	65.9000	66.6000	64.9000	65.4000	11719
'2021/06/28 00:00	65.9000	66.0000	64.3000	64.8000	12848
'2021/06/29 00:00	64.5000	66.7000	64.5000	65.8000	13772
'2021/06/30 00:00	65.4000	69.0000	65.1000	68.9000	31361
'2021/07/01 00:00	68.9000	69.5000	67.5000	68.2000	19272
'2021/07/02 00:00	68.3000	69.1000	66.6000	68.1000	22719
'2021/07/05 00:00	68.9000	71.9000	68.1000	71.9000	47085
'2021/07/06 00:00	71.9000	73.3000	70.5000	72.4000	35819
'2021/07/07 00:00	72.4000	73.1000	71.1000	71.6000	23054
'2021/07/08 00:00	72.0000	72.4000	70.6000	70.6000	16641
'2021/07/09 00:00	70.6000	71.0000	69.5000	70.6000	15488
'2021/07/12 00:00	71.0000	72.4000	68.6000	69.2000	23982
'2021/07/13 00:00	69.1000	69.7000	66.6000	67.2000	37482
'2021/07/14 00:00	68.0000	69.4000	66.7000	67.7000	11626
'2021/07/15 00:00	67.7000	68.7000	67.2000	68.0000	10962
'2021/07/16 00:00	67.9000	67.9000	66.2000	67.2000	9517
'2021/07/19 00:00	67.0000	68.2000	65.3000	67.4000	13585
'2021/07/20 00:00	66.8000	67.4000	65.1000	66.2000	14808
'2021/07/21 00:00	67.0000	67.8000	64.9000	65.6000	14573
'2021/07/22 00:00	65.6000	67.1000	65.3000	66.2000	10606
'2021/07/23 00:00	66.8000	67.2000	65.9000	67.1000	7096
'2021/07/26 00:00	67.1000	67.5000	66.6000	67.1000	8214
'2021/07/27 00:00	67.5000	67.8000	65.5000	65.7000	9260
'2021/07/28 00:00	65.1000	66.1000	62.0000	63.4000	25994
'2021/07/29 00:00	63.5000	65.0000	63.1000	64.2000	9286
'2021/07/30 00:00	64.5000	69.3000	64.2000	67.8000	39276
'2021/08/02 00:00	68.4000	70.3000	67.1000	69.5000	26699
'2021/08/03 00:00	69.5000	70.6000	67.7000	70.6000	37709
'2021/08/04 00:00	70.0000	72.4000	70.0000	72.3000	36446
'2021/08/05 00:00	72.2000	73.0000	70.3000	72.4000	32143
'2021/08/06 00:00	72.4000	72.8000	71.4000	71.7000	20903
'2021/08/09 00:00	72.0000	72.4000	68.2000	69.1000	31515
'2021/08/10 00:00	69.3000	70.0000	67.9000	68.4000	14482
'2021/08/11 00:00	68.4000	68.6000	65.7000	66.6000	30722
'2021/08/12 00:00	66.6000	67.5000	65.7000	67.1000	8182
'2021/08/13 00:00	66.7000	67.4000	64.7000	64.9000	17149
'2021/08/16 00:00	64.7000	65.3000	63.3000	63.8000	16506
'2021/08/17 00:00	64.0000	65.5000	63.4000	63.8000	12126
'2021/08/18 00:00	64.3000	66.7000	62.5000	66.7000	12246
'2021/08/19 00:00	66.7000	66.7000	63.3000	63.3000	13912
'2021/08/20 00:00	63.9000	65.1000	63.3000	63.8000	10979
'2021/08/23 00:00	64.3000	65.9000	64.3000	65.5000	10755
'2021/08/24 00:00	65.3000	66.5000	63.9000	64.5000	10565
'2021/08/25 00:00	64.7000	66.1000	64.1000	65.4000	16220
'2021/08/26 00:00	66.3000	68.0000	65.5000	66.3000	11779
'2021/08/27 00:00	66.3000	66.8000	65.3000	66.0000	7879
'2021/08/30 00:00	66.1000	67.1000	65.7000	67.0000	7957
'2021/08/31 00:00	67.2000	67.5000	65.9000	67.2000	6218
'2021/09/01 00:00	67.6000	68.1000	66.6000	68.1000	9797
'2021/09/02 00:00	68.2000	69.7000	67.2000	67.9000	19828
'2021/09/03 00:00	68.2000	70.3000	67.7000	70.0000	33907
'2021/09/06 00:00	70.3000	70.8000	68.3000	68.5000	20850
'2021/09/07 00:00	69.3000	69.9000	66.1000	66.5000	22061
'2021/09/08 00:00	66.2000	66.7000	64.8000	65.3000	14928
'2021/09/09 00:00	65.3000	67.5000	64.2000	67.0000	7136
'2021/09/10 00:00	67.0000	67.9000	66.6000	67.1000	6932
'2021/09/13 00:00	67.3000	68.6000	66.8000	67.5000	7300
'2021/09/14 00:00	67.7000	67.8000	66.4000	66.9000	5470
'2021/09/15 00:00	66.9000	67.5000	65.9000	67.3000	11326
'2021/09/16 00:00	67.4000	68.2000	66.3000	67.0000	10434
'2021/09/17 00:00	66.9000	67.9000	66.7000	67.4000	12621
'2021/09/22 00:00	66.6000	66.6000	64.6000	65.7000	9541
'2021/09/23 00:00	66.3000	67.0000	65.8000	66.1000	5675
'2021/09/24 00:00	66.3000	67.2000	66.2000	66.7000	4888
'2021/09/27 00:00	66.9000	67.3000	66.1000	66.1000	4982
'2021/09/28 00:00	66.0000	66.4000	65.2000	65.3000	8316
'2021/09/29 00:00	64.8000	65.5000	63.9000	64.7000	16036
'2021/09/30 00:00	64.5000	65.3000	64.1000	64.9000	10355
'2021/10/01 00:00	65.0000	65.5000	63.9000	64.2000	14668
'2021/10/04 00:00	64.5000	65.2000	63.3000	63.3000	10772
'2021/10/05 00:00	63.3000	63.7000	61.0000	63.3000	11643
'2021/10/06 00:00	63.4000	64.0000	62.0000	62.5000	8884
'2021/10/07 00:00	62.4000	63.3000	62.4000	62.8000	13016
'2021/10/08 00:00	63.0000	63.4000	62.5000	63.0000	5090
'2021/10/12 00:00	62.9000	63.3000	62.2000	62.6000	9520
'2021/10/13 00:00	62.7000	62.8000	61.1000	61.8000	12130
'2021/10/14 00:00	61.8000	62.3000	61.7000	62.1000	4765
'2021/10/15 00:00	62.3000	63.8000	62.1000	63.3000	10231
'2021/10/18 00:00	63.5000	63.5000	62.2000	62.5000	5989
'2021/10/19 00:00	62.8000	63.0000	62.2000	62.6000	6320
'2021/10/20 00:00	62.7000	62.7000	61.6000	61.9000	12072
'2021/10/21 00:00	61.9000	62.9000	61.4000	62.9000	8899
'2021/10/22 00:00	62.9000	63.0000	62.2000	62.6000	3540
'2021/10/25 00:00	62.6000	62.7000	62.0000	62.5000	8714
'2021/10/26 00:00	62.5000	67.2000	62.3000	67.0000	25057
'2021/10/27 00:00	66.9000	68.5000	66.6000	68.3000	18524
'2021/10/28 00:00	68.0000	68.0000	65.3000	66.7000	17222
'2021/10/29 00:00	66.7000	66.8000	65.7000	66.3000	7630
'2021/11/01 00:00	66.3000	67.2000	65.9000	67.2000	7481
'2021/11/02 00:00	66.9000	68.7000	66.9000	68.0000	20416
'2021/11/03 00:00	68.0000	68.7000	67.6000	68.0000	9998
'2021/11/04 00:00	68.0000	68.8000	67.1000	68.1000	11135
'2021/11/05 00:00	68.3000	69.4000	67.9000	68.9000	17152
'2021/11/08 00:00	68.5000	70.9000	68.3000	70.9000	38326
'2021/11/09 00:00	71.0000	75.3000	70.8000	75.3000	74720
'2021/11/10 00:00	75.3000	76.6000	73.9000	75.2000	37984
'2021/11/11 00:00	74.6000	75.9000	73.0000	74.2000	24632
'2021/11/12 00:00	74.6000	75.7000	73.6000	74.0000	24072
'2021/11/15 00:00	74.1000	75.4000	74.1000	74.7000	18425
'2021/11/16 00:00	74.5000	75.1000	72.4000	72.8000	28424
'2021/11/17 00:00	72.7000	73.1000	70.1000	71.5000	24971
'2021/11/18 00:00	71.3000	73.3000	70.9000	73.0000	15116
'2021/11/19 00:00	73.1000	74.8000	72.9000	73.7000	12153
'2021/11/22 00:00	73.6000	75.5000	73.2000	73.9000	26750
'2021/11/23 00:00	73.9000	74.5000	73.1000	74.4000	14897
'2021/11/24 00:00	74.4000	74.8000	73.9000	74.5000	12453
'2021/11/25 00:00	74.7000	75.6000	74.5000	75.6000	20652
'2021/11/26 00:00	75.5000	75.9000	73.8000	74.4000	18964
'2021/11/29 00:00	74.0000	74.8000	72.7000	74.5000	14620
'2021/11/30 00:00	74.5000	76.4000	74.4000	75.9000	30179
'2021/12/01 00:00	76.0000	77.1000	75.2000	77.0000	26952
'2021/12/02 00:00	77.0000	79.4000	76.6000	78.9000	42056
'2021/12/03 00:00	79.3000	80.3000	77.6000	79.9000	53006
'2021/12/06 00:00	78.0000	78.9000	72.1000	75.9000	78882
'2021/12/07 00:00	76.0000	77.1000	73.5000	73.6000	45474
'2021/12/08 00:00	74.8000	75.0000	72.6000	72.7000	31525
'2021/12/09 00:00	72.2000	72.5000	70.9000	71.0000	36805
'2021/12/10 00:00	70.4000	74.2000	69.5000	72.7000	31059
'2021/12/13 00:00	72.5000	72.6000	71.0000	71.0000	18683
'2021/12/14 00:00	70.6000	70.9000	69.5000	69.8000	20018
'2021/12/15 00:00	70.0000	70.7000	69.6000	70.2000	11170
'2021/12/16 00:00	71.6000	71.7000	70.3000	70.6000	14350
'2021/12/17 00:00	70.0000	70.3000	69.7000	69.9000	14304
'2021/12/20 00:00	70.0000	70.1000	69.0000	69.3000	12552
'2021/12/21 00:00	69.8000	70.8000	69.3000	70.8000	11293
'2021/12/22 00:00	71.4000	71.7000	70.8000	70.8000	12179
'2021/12/23 00:00	71.4000	71.5000	70.2000	70.3000	9415
'2021/12/24 00:00	70.5000	71.0000	70.3000	70.4000	8084
'2021/12/27 00:00	70.9000	71.4000	70.8000	70.9000	9688
'2021/12/28 00:00	71.4000	71.6000	71.1000	71.4000	12196
'2021/12/29 00:00	71.6000	71.9000	71.2000	71.6000	9025
'2021/12/30 00:00	71.6000	71.7000	71.2000	71.2000	12121
'2022/01/03 00:00	71.2000	71.2000	69.8000	70.0000	16419
'2022/01/04 00:00	70.1000	70.2000	69.2000	69.2000	17016
'2022/01/05 00:00	69.4000	70.2000	69.0000	69.3000	10908
'2022/01/06 00:00	69.0000	69.0000	68.0000	68.5000	14455
'2022/01/07 00:00	68.4000	68.9000	66.5000	67.5000	18832
'2022/01/10 00:00	66.5000	67.3000	66.0000	67.0000	11880
'2022/01/11 00:00	67.4000	67.8000	66.7000	67.0000	9260
'2022/01/12 00:00	67.3000	67.5000	66.6000	66.9000	7177
'2022/01/13 00:00	67.1000	68.2000	67.1000	68.2000	11179
'2022/01/14 00:00	68.4000	68.5000	67.0000	67.3000	8168
'2022/01/17 00:00	68.2000	68.3000	67.5000	68.1000	9095
'2022/01/18 00:00	68.4000	68.4000	68.0000	68.0000	6306
'2022/01/19 00:00	67.0000	67.8000	66.8000	67.8000	6198
'2022/01/20 00:00	67.7000	68.0000	67.3000	67.9000	4538
'2022/01/21 00:00	67.7000	67.7000	66.5000	67.2000	8708
'2022/01/24 00:00	66.7000	66.8000	65.0000	66.2000	9807
'2022/01/25 00:00	66.0000	66.3000	65.5000	65.6000	9844
'2022/01/26 00:00	64.4000	65.3000	63.8000	65.2000	23832
'2022/02/07 00:00	64.7000	65.0000	62.6000	64.5000	21296
'2022/02/08 00:00	64.5000	66.3000	64.4000	66.1000	11760
'2022/02/09 00:00	66.5000	66.5000	65.3000	66.2000	11068
'2022/02/10 00:00	65.6000	65.9000	64.3000	65.0000	12883
'2022/02/11 00:00	64.3000	64.4000	63.7000	63.9000	12293
'2022/02/14 00:00	62.6000	62.6000	61.5000	61.5000	19003
'2022/02/15 00:00	61.3000	62.0000	60.4000	60.4000	19112
'2022/02/16 00:00	61.0000	61.4000	59.0000	59.2000	42061
'2022/02/17 00:00	59.5000	59.9000	58.1000	59.6000	29127
'2022/02/18 00:00	58.9000	59.3000	58.4000	59.2000	11020
'2022/02/21 00:00	59.0000	59.0000	58.5000	58.6000	10164
'2022/02/22 00:00	58.3000	58.4000	56.5000	56.6000	21466
'2022/02/23 00:00	56.1000	57.3000	56.0000	57.1000	15186
'2022/02/24 00:00	56.0000	56.1000	53.1000	53.3000	25478
'2022/02/25 00:00	53.6000	54.0000	52.3000	53.3000	20724
'2022/03/01 00:00	53.6000	56.3000	53.5000	55.9000	20520
'2022/03/02 00:00	54.5000	56.0000	54.1000	56.0000	10310
'2022/03/03 00:00	56.0000	56.1000	55.0000	55.4000	9843
'2022/03/04 00:00	54.7000	54.9000	53.8000	54.0000	10025
'2022/03/07 00:00	53.0000	53.1000	51.3000	52.2000	18402
'2022/03/08 00:00	50.6000	51.6000	49.7000	49.7000	22832
'2022/03/09 00:00	50.1000	50.6000	49.8000	50.2000	12857
'2022/03/10 00:00	51.4000	52.0000	51.3000	51.5000	10795
'2022/03/11 00:00	51.4000	51.5000	50.8000	50.9000	6197
'2022/03/14 00:00	51.0000	51.5000	50.7000	51.4000	7252
'2022/03/15 00:00	51.0000	51.1000	50.0000	50.4000	11887
'2022/03/16 00:00	50.9000	51.4000	50.2000	51.4000	12406
'2022/03/17 00:00	52.9000	53.4000	52.5000	52.9000	14798
'2022/03/18 00:00	53.0000	54.2000	52.5000	54.2000	16694
'2022/03/21 00:00	54.9000	55.3000	54.0000	54.5000	14757
'2022/03/22 00:00	54.6000	54.6000	53.8000	54.2000	8168
'2022/03/23 00:00	54.3000	54.7000	54.0000	54.2000	10167
'2022/03/24 00:00	53.6000	54.2000	53.3000	54.2000	7470
'2022/03/25 00:00	54.5000	54.7000	54.0000	54.1000	9280
'2022/03/28 00:00	53.8000	54.0000	52.7000	53.9000	7646
'2022/03/29 00:00	53.8000	53.9000	53.1000	53.8000	9934
'2022/03/30 00:00	54.0000	54.2000	53.3000	53.7000	11987
'2022/03/31 00:00	53.4000	53.6000	52.8000	53.0000	9073
'2022/04/01 00:00	52.3000	52.4000	51.7000	52.0000	9811
'2022/04/06 00:00	51.8000	54.3000	51.4000	54.3000	28210
'2022/04/07 00:00	54.3000	54.9000	53.8000	54.5000	21734
'2022/04/08 00:00	55.0000	55.2000	53.7000	54.3000	12914
'2022/04/11 00:00	54.5000	54.5000	52.3000	52.3000	11382
'2022/04/12 00:00	52.3000	52.5000	51.5000	51.8000	11469
'2022/04/13 00:00	52.9000	53.9000	52.4000	53.0000	18355
'2022/04/14 00:00	52.8000	52.8000	51.8000	52.0000	13712
'2022/04/15 00:00	51.6000	51.7000	51.1000	51.6000	9310
'2022/04/18 00:00	51.5000	51.6000	50.9000	51.0000	7222
'2022/04/19 00:00	51.4000	52.0000	51.4000	51.8000	9242
'2022/04/20 00:00	52.2000	56.0000	51.7000	54.5000	26911
'2022/04/21 00:00	54.3000	54.9000	54.0000	54.4000	17773
