商品代碼:8028	商品名稱:昇陽半導體

日期	開盤價	最高價	最低價	收盤價	成交量
'2014/12/23 00:00	60.0000	60.0000	47.5100	48.8000	1
'2014/12/24 00:00	49.2000	49.2000	47.8100	48.0100	1
'2014/12/25 00:00	48.3400	48.3400	45.0100	46.2000	1
'2014/12/26 00:00	45.0000	46.5000	45.0000	46.2000	0
'2014/12/27 00:00	47.4900	49.5000	46.5000	49.5000	0
'2014/12/29 00:00	49.5000	52.7900	49.5000	52.1800	1
'2014/12/30 00:00	52.4900	52.9900	50.0000	50.9000	0
'2014/12/31 00:00	51.9900	53.0000	49.8600	50.4000	0
'2015/01/05 00:00	50.0000	50.5000	48.5300	49.0000	0
'2015/01/06 00:00	48.5300	49.0000	47.0000	47.3000	0
'2015/01/07 00:00	47.1000	48.9900	47.1000	47.9100	0
'2015/01/08 00:00	48.5000	51.0000	48.0100	49.9900	0
'2015/01/09 00:00	50.2600	51.0000	49.0000	49.0000	0
'2015/01/12 00:00	49.9900	49.9900	47.9100	48.5000	0
'2015/01/13 00:00	48.4000	48.9900	48.0100	48.4000	0
'2015/01/14 00:00	48.3200	48.4300	47.0100	48.4300	0
'2015/01/15 00:00	48.3000	48.3000	47.5000	48.1000	0
'2015/01/16 00:00	47.6100	48.1000	46.5100	46.6300	0
'2015/01/19 00:00	47.1800	47.9900	44.5100	45.5000	0
'2015/01/20 00:00	45.0000	45.6000	44.5100	45.0000	0
'2015/01/21 00:00	45.1000	45.1000	43.7100	43.7100	0
'2015/01/22 00:00	43.7100	44.9900	43.0100	44.5000	1
'2015/01/23 00:00	44.9900	47.2000	44.3000	46.2000	0
'2015/01/26 00:00	46.1900	46.1900	44.0100	45.2000	0
'2015/01/27 00:00	45.2000	45.9900	44.0000	45.9800	0
'2015/01/28 00:00	45.0000	45.9700	44.4000	45.6900	0
'2015/01/29 00:00	44.8000	45.9900	44.3100	44.3100	0
'2015/01/30 00:00	44.3000	44.9400	43.8100	44.2000	0
'2015/02/02 00:00	44.0100	44.6800	43.3100	44.0600	0
'2015/02/03 00:00	43.2000	44.0000	40.7000	41.4400	1
'2015/02/04 00:00	41.4400	41.4400	36.5100	38.1900	1
'2015/02/05 00:00	38.2000	39.7700	36.3100	39.1800	0
'2015/02/06 00:00	39.5000	39.5000	38.5100	39.2000	0
'2015/02/09 00:00	38.5400	39.2000	37.8000	38.6500	0
'2015/02/10 00:00	37.8200	38.6900	37.3100	38.4800	0
'2015/02/11 00:00	37.8400	38.4700	37.3100	37.3100	0
'2015/02/12 00:00	38.1900	38.1900	37.0100	37.2000	0
'2015/02/13 00:00	37.9000	37.9900	37.0100	37.9800	0
'2015/02/24 00:00	37.2000	37.6900	37.0100	37.4700	0
'2015/02/25 00:00	37.5000	38.4900	37.5000	37.5000	0
'2015/02/26 00:00	37.8000	38.4900	37.0100	37.4000	0
'2015/03/02 00:00	37.3100	37.6900	37.1100	37.1100	0
'2015/03/03 00:00	37.5900	37.5900	36.8600	37.2900	0
'2015/03/04 00:00	36.8600	37.3900	36.2100	36.6900	0
'2015/03/05 00:00	36.2000	36.6900	32.7000	33.5000	1
'2015/03/06 00:00	33.9900	34.2000	33.0100	33.5000	0
'2015/03/09 00:00	33.4000	33.7500	32.5100	33.0000	0
'2015/03/10 00:00	33.4900	36.6000	32.8000	36.3000	0
'2015/03/11 00:00	36.7900	37.0000	35.5200	36.3700	0
'2015/03/12 00:00	36.3700	40.8000	36.0000	40.1600	0
'2015/03/13 00:00	40.1700	42.0000	39.0600	40.4500	1
'2015/03/16 00:00	40.4900	40.5000	38.8100	39.0000	0
'2015/03/17 00:00	39.8000	40.5900	38.9000	39.7000	0
'2015/03/18 00:00	40.5300	40.5300	38.5000	39.0000	0
'2015/03/19 00:00	39.9700	39.9700	38.3000	39.1900	0
'2015/03/20 00:00	39.1900	39.4900	37.8100	38.7900	0
'2015/03/23 00:00	38.7900	38.8000	37.5400	38.1900	0
'2015/03/24 00:00	38.0000	38.2000	37.5100	38.1800	0
'2015/03/25 00:00	38.1800	38.3900	37.6100	38.1900	0
'2015/03/26 00:00	37.5000	37.8000	36.8100	37.7900	0
'2015/03/27 00:00	37.7900	37.7900	36.5100	37.1900	0
'2015/03/30 00:00	37.1900	37.4900	36.5000	36.9900	0
'2015/03/31 00:00	37.0000	37.9900	36.8100	37.9900	0
'2015/04/01 00:00	36.8100	37.9900	36.8000	36.8000	0
'2015/04/02 00:00	36.5100	38.4100	36.5100	38.0500	0
'2015/04/07 00:00	38.0500	38.4100	36.5100	36.5100	0
'2015/04/08 00:00	36.5100	38.0000	36.5000	38.0000	0
'2015/04/09 00:00	37.5000	37.9900	37.3000	37.6500	0
'2015/04/10 00:00	37.6900	37.6900	37.0100	37.0100	0
'2015/04/13 00:00	37.0100	38.0000	37.0100	37.3100	0
'2015/04/14 00:00	38.0000	38.0000	37.3100	37.7000	0
'2015/04/15 00:00	37.5000	37.5000	37.0100	37.5000	0
'2015/04/16 00:00	37.5000	37.6900	37.0100	37.6900	0
'2015/04/17 00:00	37.0100	37.4400	36.5000	37.0900	0
'2015/04/20 00:00	36.5100	36.9900	36.3100	36.5000	0
'2015/04/21 00:00	36.3000	36.5000	35.1600	35.1600	0
'2015/04/22 00:00	35.1600	36.2900	34.8300	34.8300	0
'2015/04/23 00:00	35.5000	35.7700	34.5100	35.4900	0
'2015/04/24 00:00	34.5100	35.2000	34.0000	34.0000	0
'2015/04/27 00:00	33.9000	34.0000	32.9000	33.5000	0
'2015/04/28 00:00	33.2000	34.5000	32.8100	34.5000	0
'2015/04/29 00:00	35.0900	35.1900	34.2100	34.9900	0
'2015/04/30 00:00	34.9900	34.9900	33.0000	33.6900	0
'2015/05/04 00:00	33.7000	34.4900	33.0000	34.0000	0
'2015/05/05 00:00	34.1800	34.1800	32.7900	33.2900	0
'2015/05/06 00:00	33.1000	33.2800	32.0100	32.7900	0
'2015/05/07 00:00	32.5000	33.2400	32.0100	33.2400	0
'2015/05/08 00:00	32.0100	32.6900	32.0100	32.6800	0
'2015/05/11 00:00	32.0200	32.2000	31.0100	32.1800	0
'2015/05/12 00:00	31.0100	31.2300	30.0000	30.0000	0
